"Status","Name","Duration in ms","Description"
"passed","test_book_token#test_books","192",""
"passed","test_Books.TestBooks#test_book_005","32","删除已编辑的书籍"
"passed","test_book_token#test_books","175",""
"passed","test_book_token#test_books","171",""
"passed","test_Books.TestBooks#test_book_004","34","更新/修改已添加的书籍"
"passed","test_book_token#test_books","228",""
"passed","test_Books.TestBooks#test_book_002","319","添加书籍请求"
"passed","test_Books.TestBooks#test_book_003","36","查看已添加的书籍"
"passed","test_book_token#test_books","250",""
"passed","test_Books.TestBooks#test_book_001","88","查询所有书籍信息"
